Country,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03
Bulgaria,1,4,3,4,4,7,4,12,7,4,4,3,2,1,3,2,1,4,5,5,2,Missing,2,2,1,1,2,2,5,3,1,2,Missing,Missing,1,1,1,2,Missing
Burkina-Faso,76,51,28,55,48,106,148,131,43,41,90,128,126,42,60,75,78,93,96,162,138,102,111,164,177,131,120,100,224,214,118,107,201,274,362,146,217,170,94
Burundi,96,56,44,37,30,29,93,132,62,24,16,15,16,84,104,22,70,53,46,63,159,114,97,112,102,57,97,127,270,268,202,367,177,200,214,191,256,395,83
Cambodia,3,7,1,Missing,6,19,13,12,8,3,11,10,12,6,1,1,3,24,7,13,28,14,8,13,12,8,10,20,19,21,28,20,9,3,17,14,12,11,4
Cape Verde Islands,Missing,Missing,Missing,Missing,Missing,1,Missing,1,Missing,Missing,2,Missing,Missing,Missing,Missing,Missing,Missing,1,Missing,1,Missing,Missing,Missing,Missing,1,1,1,Missing,Missing,Missing,Missing,Missing,Missing,1,1,Missing,Missing,Missing,Missing
Cayman Islands,Missing,Missing,Missing,Missing,Missing,1,Missing,Missing,7,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,2,2,Missing,Missing,Missing,1,Missing,Missing,Missing,Missing,Missing,1,1,3,Missing,Missing,Missing,Missing,Missing,Missing,Missing
Central African Republic,5,5,4,4,3,10,13,16,8,3,10,9,7,4,5,6,2,3,6,9,18,9,13,10,7,11,8,16,16,14,12,16,12,17,12,14,20,13,6
"Chad, Republic of",22,8,4,5,13,29,39,41,22,17,37,48,86,15,27,70,40,53,49,61,101,75,72,164,92,288,152,168,264,198,193,312,74,228,318,276,209,174,92
Chile,136,97,105,54,45,83,75,234,229,176,116,112,77,70,63,107,146,102,112,113,62,84,85,77,82,78,67,43,126,234,125,71,74,60,61,48,70,30,20
Colombia,740,662,668,513,431,1014,521,863,2002,627,1300,810,1010,1027,1109,962,1000,1254,908,2137,1036,668,652,1278,331,1133,1182,618,676,901,1059,783,931,852,634,435,322,477,378
Commonwealth of the Northern Mariana Islands,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,1,2,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
Comoros,7,2,1,7,6,6,10,8,13,3,5,3,5,5,9,Missing,3,9,6,6,13,2,6,12,2,5,9,3,15,5,12,9,5,10,4,3,12,8,1
"Congo, Democratic Republic of the",413,189,178,296,308,458,857,846,446,291,588,609,756,247,314,803,652,567,695,1141,1484,765,754,887,1174,880,1021,978,1548,1235,660,827,817,2085,3013,1133,795,930,712
"Congo, People's Republic of the",69,27,38,31,39,76,122,110,48,34,93,69,95,19,47,53,42,48,61,108,127,55,66,93,90,83,86,65,116,130,52,82,110,167,209,80,104,103,56
